stock,sector,sub_sector,market_cap,beta
MSFT,Technology,Software - Infrastructure,3463484014592,1.073
AAPL,Technology,Consumer Electronics,3665126490112,1.093
A,Healthcare,Diagnostics & Research,38286733312,1.291
ACGL,Financial Services,Insurance - Diversified,34694557696,0.425
ABNB,Consumer Cyclical,Travel Services,80906936320,1.1
ABT,Healthcare,Medical Devices,186960101376,0.72
ABBV,Healthcare,Drug Manufacturers - General,387516727296,0.35
ADBE,Technology,Software - Application,126027907072,1.526
ADI,Technology,Semiconductors,149638299648,1.032
ACN,Technology,Information Technology Services,174302445568,1.249
ADP,Technology,Software - Application,104460427264,0.864
ADM,Consumer Defensive,Farm Products,32443262976,0.694
ADSK,Technology,Software - Application,57509998592,1.466
AEP,Utilities,Utilities - Regulated Electric,62428024832,0.615
AEE,Utilities,Utilities - Regulated Electric,27677038592,0.592
AFL,Financial Services,Insurance - Life,57275101184,0.664
AES,Utilities,Utilities - Diversified,10147723264,0.969
AIG,Financial Services,Insurance - Diversified,40065556480,0.624
AIZ,Financial Services,Insurance - Property & Casualty,11776675840,0.561
AJG,Financial Services,Insurance Brokers,65025593344,0.675
AKAM,Technology,Software - Infrastructure,13678706688,0.685
ALB,Basic Materials,Specialty Chemicals,22304860160,1.412
ALGN,Healthcare,Medical Instruments & Supplies,12230624256,1.833
ALLE,Industrials,Security & Protection Services,14350130176,1.05
ALL,Financial Services,Insurance - Property & Casualty,51027804160,0.24
AMCR,Consumer Cyclical,Packaging & Containers,20442834944,0.676
AMAT,Technology,Semiconductor Equipment & Materials,256821592064,1.671
AMD,Technology,Semiconductors,422769819648,1.95
AME,Industrials,Specialty Industrial Machinery,50980777984,1.047
AMGN,Healthcare,Drug Manufacturers - General,185641205760,0.45
AMP,Financial Services,Asset Management,46815260672,1.256
AMT,Real Estate,REIT - Specialty,83699908608,0.929
AMZN,Consumer Cyclical,Internet Retail,2556672081920,1.376
ANET,Technology,Computer Hardware,171690934272,1.414
AON,Financial Services,Insurance Brokers,73030574080,0.835
AOS,Industrials,Specialty Industrial Machinery,10153789440,1.349
APH,Technology,Electronic Components,184820154368,1.214
APA,Energy,Oil & Gas E&P,9230891008,0.743
APD,Basic Materials,Specialty Chemicals,58174357504,0.879
APO,Financial Services,Asset Management,79117402112,1.583
APP,Communication Services,Advertising Agencies,177381638144,2.502
APTV,Consumer Cyclical,Auto Parts,16652092416,1.502
ARE,Real Estate,REIT - Office,10190339072,1.319
ARES,Financial Services,Asset Management,51073400832,1.548
ATO,Utilities,Utilities - Regulated Gas,26743412736,0.761
AVB,Real Estate,REIT - Residential,25453813760,0.756
AVGO,Technology,Semiconductors,1517444530176,1.218
AWK,Utilities,Utilities - Regulated Water,25316431872,0.754
AXON,Industrials,Aerospace & Defense,48706166784,1.414
AVY,Consumer Cyclical,Packaging & Containers,14487475200,1.008
AXP,Financial Services,Credit Services,251693645824,1.154
AZO,Consumer Cyclical,Auto Parts,61540855808,0.42
BAC,Financial Services,Banks - Diversified,377685082112,1.295
BA,Industrials,Aerospace & Defense,197451399168,1.163
BALL,Consumer Cyclical,Packaging & Containers,15610461184,1.137
BAX,Healthcare,Medical Instruments & Supplies,10198866944,0.589
BBY,Consumer Cyclical,Specialty Retail,14087290880,1.433
BDX,Healthcare,Medical Instruments & Supplies,57594609664,0.262
BEN,Financial Services,Asset Management,13196397568,1.466
BF-B,Consumer Defensive,Beverages - Wineries & Distilleries,12770683904,0.414
BG,Consumer Defensive,Farm Products,21965813760,0.768
BKNG,Consumer Cyclical,Travel Services,165241798656,1.234
BK,Financial Services,Banks - Diversified,82015232000,1.109
