stock,earnings_date,fiscal_date_ending
A,2005-02-14,2005-01-31
A,2005-05-16,2005-04-30
A,2005-08-15,2005-07-31
A,2005-11-14,2005-10-31
A,2006-02-13,2006-01-31
A,2006-05-15,2006-04-30
A,2006-08-14,2006-07-31
A,2006-11-14,2006-10-31
A,2007-02-15,2007-01-31
A,2007-05-14,2007-04-30
A,2007-08-14,2007-07-31
A,2007-11-15,2007-10-31
A,2008-02-13,2008-01-31
A,2008-05-14,2008-04-30
A,2008-08-14,2008-07-31
A,2008-11-14,2008-10-31
A,2009-02-17,2009-01-31
A,2009-05-14,2009-04-30
A,2009-08-17,2009-07-31
A,2009-11-13,2009-10-31
A,2010-02-12,2010-01-31
A,2010-05-17,2010-04-30
A,2010-08-16,2010-07-31
A,2010-11-12,2010-10-31
A,2011-02-14,2011-01-31
A,2011-05-13,2011-04-30
A,2011-08-15,2011-07-31
A,2011-11-15,2011-10-31
A,2012-02-15,2012-01-31
A,2012-05-14,2012-04-30
A,2012-08-15,2012-07-31
A,2012-11-19,2012-10-31
A,2013-02-14,2013-01-31
A,2013-05-14,2013-04-30
A,2013-08-14,2013-07-31
A,2013-11-14,2013-10-31
A,2014-02-13,2014-01-31
A,2014-05-14,2014-04-30
A,2014-08-14,2014-07-31
A,2014-11-17,2014-10-31
A,2015-02-17,2015-01-31
A,2015-05-18,2015-04-30
A,2015-08-17,2015-07-31
A,2015-11-16,2015-10-31
A,2016-02-16,2016-01-31
A,2016-05-16,2016-04-30
A,2016-08-17,2016-07-31
A,2016-11-15,2016-10-31
A,2017-02-14,2017-01-31
A,2017-05-22,2017-04-30
A,2017-08-15,2017-07-31
A,2017-11-20,2017-10-31
A,2018-02-14,2018-01-31
A,2018-05-14,2018-04-30
A,2018-08-14,2018-07-31
A,2018-11-19,2018-10-31
A,2019-02-20,2019-01-31
A,2019-05-14,2019-04-30
A,2019-08-14,2019-07-31
A,2019-11-25,2019-10-31
A,2020-02-18,2020-01-31
A,2020-05-21,2020-04-30
A,2020-08-18,2020-07-31
A,2020-11-23,2020-10-31
A,2021-02-16,2021-01-31
A,2021-05-25,2021-04-30
A,2021-08-17,2021-07-31
A,2021-11-22,2021-10-31
A,2022-02-22,2022-01-31
A,2022-05-24,2022-04-30
A,2022-08-16,2022-07-31
A,2022-11-21,2022-10-31
A,2023-02-28,2023-01-31
A,2023-05-23,2023-04-30
A,2023-08-15,2023-07-31
A,2023-11-20,2023-10-31
A,2024-02-27,2024-01-31
A,2024-05-29,2024-04-30
A,2024-08-21,2024-07-31
A,2024-11-25,2024-10-31
A,2025-02-26,2025-01-31
A,2025-05-28,2025-04-30
A,2025-08-27,2025-07-31
A,2025-11-24,2025-10-31
AAPL,2005-01-12,2004-12-31
AAPL,2005-04-13,2005-03-31
AAPL,2005-07-13,2005-06-30
AAPL,2005-10-11,2005-09-30
AAPL,2006-01-18,2005-12-31
AAPL,2006-04-19,2006-03-31
AAPL,2006-07-19,2006-06-30
AAPL,2006-10-18,2006-09-30
AAPL,2007-01-17,2006-12-31
AAPL,2007-04-25,2007-03-31
AAPL,2007-07-25,2007-06-30
AAPL,2007-10-22,2007-09-30
AAPL,2008-01-22,2007-12-31
AAPL,2008-04-23,2008-03-31
AAPL,2008-07-21,2008-06-30
AAPL,2008-10-21,2008-09-30
AAPL,2009-01-21,2008-12-31
AAPL,2009-04-22,2009-03-31
AAPL,2009-07-21,2009-06-30
AAPL,2009-10-19,2009-09-30
AAPL,2010-01-25,2009-12-31
AAPL,2010-04-20,2010-03-31
AAPL,2010-07-20,2010-06-30
AAPL,2010-10-18,2010-09-30
AAPL,2011-01-18,2010-12-31
AAPL,2011-04-20,2011-03-31
AAPL,2011-07-19,2011-06-30
AAPL,2011-10-18,2011-09-30
AAPL,2012-01-24,2011-12-31
AAPL,2012-04-24,2012-03-31
AAPL,2012-07-24,2012-06-30
AAPL,2012-10-25,2012-09-30
AAPL,2013-01-23,2012-12-31
AAPL,2013-04-23,2013-03-31
AAPL,2013-07-23,2013-06-30
AAPL,2013-10-28,2013-09-30
AAPL,2014-01-27,2013-12-31
AAPL,2014-04-23,2014-03-31
AAPL,2014-07-22,2014-06-30
AAPL,2014-10-20,2014-09-30
AAPL,2015-01-27,2014-12-31
AAPL,2015-04-27,2015-03-31
AAPL,2015-07-21,2015-06-30
AAPL,2015-10-27,2015-09-30
AAPL,2016-01-26,2015-12-31
AAPL,2016-04-26,2016-03-31
