stock,sector,sub_sector,market_cap_log,beta
A,Healthcare,Diagnostics & Research,24.369959914223323,1.291
ABNB,Consumer Cyclical,Travel Services,25.128973997625096,1.1
ABBV,Healthcare,Drug Manufacturers - General,26.687393671679082,0.35
AAPL,Technology,Consumer Electronics,28.95818479104199,1.093
ABT,Healthcare,Medical Devices,25.963335116760106,0.72
ACGL,Financial Services,Insurance - Diversified,24.27317781573265,0.425
ACN,Technology,Information Technology Services,25.88750290449981,1.249
ADBE,Technology,Software - Application,25.573295380759664,1.526
ADM,Consumer Defensive,Farm Products,24.198304954334038,0.694
ADI,Technology,Semiconductors,25.72630321171086,1.032
ADP,Technology,Software - Application,25.367448724300985,0.864
ADSK,Technology,Software - Application,24.782645211135627,1.466
AEE,Utilities,Utilities - Regulated Electric,24.049715837645827,0.592
AEP,Utilities,Utilities - Regulated Electric,24.867346787272876,0.615
AES,Utilities,Utilities - Diversified,23.076017840435785,0.969
AIG,Financial Services,Insurance - Diversified,24.431463057300988,0.624
AFL,Financial Services,Insurance - Life,24.780472773462616,0.664
AIZ,Financial Services,Insurance - Property & Casualty,23.19285136344135,0.561
AJG,Financial Services,Insurance Brokers,24.896900821977503,0.675
AKAM,Technology,Software - Infrastructure,23.369252937851403,0.685
ALB,Basic Materials,Specialty Chemicals,23.83065270959242,1.412
ALGN,Healthcare,Medical Instruments & Supplies,23.21902639339839,1.833
ALL,Financial Services,Insurance - Property & Casualty,24.661608856973984,0.24
ALLE,Industrials,Security & Protection Services,23.383300802984056,1.05
AMAT,Technology,Semiconductor Equipment & Materials,26.263330778827623,1.671
AMD,Technology,Semiconductors,26.74459111632213,1.95
AMCR,Consumer Cyclical,Packaging & Containers,23.74101128724065,0.676
AMGN,Healthcare,Drug Manufacturers - General,25.956981696181288,0.45
AME,Industrials,Specialty Industrial Machinery,24.64501824363646,1.047
AMP,Financial Services,Asset Management,24.571245581103568,1.256
AMT,Real Estate,REIT - Specialty,25.157611226603358,0.929
AMZN,Consumer Cyclical,Internet Retail,28.572858634471775,1.376
ANET,Technology,Computer Hardware,25.924803196246806,1.414
AON,Financial Services,Insurance Brokers,25.010757640435525,0.835
AOS,Industrials,Specialty Industrial Machinery,23.018784279074676,1.349
APD,Basic Materials,Specialty Chemicals,24.79243355629091,0.879
APA,Energy,Oil & Gas E&P,22.919907076174034,0.743
APO,Financial Services,Asset Management,25.05056366408341,1.583
APP,Communication Services,Advertising Agencies,25.942774923361632,2.502
APH,Technology,Electronic Components,25.963361513762866,1.214
ARE,Real Estate,REIT - Office,23.02439722742678,1.319
APTV,Consumer Cyclical,Auto Parts,23.53521310899341,1.502
ARES,Financial Services,Asset Management,24.62306751096822,1.548
AVB,Real Estate,REIT - Residential,23.95204376718812,0.756
ATO,Utilities,Utilities - Regulated Gas,24.025514134174326,0.761
AVGO,Technology,Semiconductors,28.071090252786032,1.218
AVY,Consumer Cyclical,Packaging & Containers,23.39500191224808,1.008
AXON,Industrials,Aerospace & Defense,24.607210390887353,1.414
AWK,Utilities,Utilities - Regulated Water,23.961289447611637,0.754
AXP,Financial Services,Credit Services,26.249984358953977,1.154
AZO,Consumer Cyclical,Auto Parts,24.866339162087847,0.42
BA,Industrials,Aerospace & Defense,25.99999512033375,1.163
BAX,Healthcare,Medical Instruments & Supplies,23.037699307867044,0.589
BALL,Consumer Cyclical,Packaging & Containers,23.46491114377009,1.137
BAC,Financial Services,Banks - Diversified,26.66089713306427,1.295
BBY,Consumer Cyclical,Specialty Retail,23.365401832887105,1.433
BDX,Healthcare,Medical Instruments & Supplies,24.781613580297634,0.262
BEN,Financial Services,Asset Management,23.30852947841748,1.466
BF-B,Consumer Defensive,Beverages - Wineries & Distilleries,23.262040681884514,0.414
BG,Consumer Defensive,Farm Products,23.813193231038966,0.768
BIIB,Healthcare,Drug Manufacturers - General,23.94995569133084,0.127
BK,Financial Services,Banks - Diversified,25.137625271314445,1.109
BLDR,Industrials,Building Products & Equipment,23.303734290636314,1.569
BKNG,Consumer Cyclical,Travel Services,25.833515615404632,1.234
BKR,Energy,Oil & Gas Equipment & Services,24.731725355481856,
BLK,Financial Services,Asset Management,25.889638363104353,1.484
BMY,Healthcare,Drug Manufacturers - General,25.43654362320987,0.295
BRK-B,Financial Services,Insurance - Diversified,27.66758038831128,0.71
BR,Technology,Information Technology Services,23.90862747080165,0.994
BRO,Financial Services,Insurance Brokers,24.017567668202325,0.812
BX,Financial Services,Asset Management,25.93511551018751,1.752
BSX,Healthcare,Medical Devices,25.65509376682699,0.671
CAG,Consumer Defensive,Packaged Foods,22.868457545424658,-0.014
BXP,Real Estate,REIT - Office,23.16261270884429,1.028
C,Financial Services,Banks - Diversified,26.04608286338284,1.166
CAH,Healthcare,Medical Distribution,24.634066320038556,0.654
CARR,Industrials,Building Products & Equipment,24.606038843955403,1.314
CAT,Industrials,Farm & Heavy Construction Machinery,26.401071946714755,1.568
CB,Financial Services,Insurance - Property & Casualty,25.515677620719266,0.513
CBOE,Financial Services,Financial Data & Stock Exchanges,24.059377310704413,0.359
CBRE,Real Estate,Real Estate Services,24.645326640293458,1.345
CCI,Real Estate,REIT - Specialty,24.360523750806017,0.976
CCL,Consumer Cyclical,Travel Services,24.342482243055272,2.516
CDW,Technology,Information Technology Services,23.53877788612024,1.073
CDNS,Technology,Software - Application,25.199262128597972,1.022
CEG,Utilities,Utilities - Independent Power Producers,25.363498183744102,1.145
CF,Basic Materials,Agricultural Inputs,23.418185437660302,0.681
CFG,Financial Services,Banks - Regional,24.01182562960749,1.086
CHRW,Industrials,Integrated Freight & Logistics,23.768128842955587,0.913
CHD,Consumer Defensive,Household & Personal Products,23.836334662142075,0.46
CHTR,Communication Services,Telecom Services,23.989267480357498,1.058
CL,Consumer Defensive,Household & Personal Products,24.9605566182332,0.298
CLX,Consumer Defensive,Household & Personal Products,23.343478836523392,0.575
CINF,Financial Services,Insurance - Property & Casualty,23.92866128199961,0.673
CI,Healthcare,Healthcare Plans,25.033438074442525,0.269
CMCSA,Communication Services,Telecom Services,25.475906841717922,0.807
CME,Financial Services,Financial Data & Stock Exchanges,25.34794458848896,0.291
CMG,Consumer Cyclical,Restaurants,24.69744292940724,0.974
CMI,Industrials,Specialty Industrial Machinery,25.0814796638881,1.116
CNC,Healthcare,Healthcare Plans,23.85052410165088,0.48
CMS,Utilities,Utilities - Regulated Electric,23.79683267814928,0.484
CNP,Utilities,Utilities - Regulated Electric,23.966964775938067,0.584
COF,Financial Services,Credit Services,25.660001065463593,1.131
COIN,Financial Services,Financial Data & Stock Exchanges,24.775152222387355,3.707
COP,Energy,Oil & Gas E&P,25.534908545296837,0.328
COO,Healthcare,Medical Instruments & Supplies,23.502365604252724,1.029
COR,Healthcare,Medical Distribution,24.956587672031922,0.665
