stock,date,price
AAPL,2025-01-02,242.75210571289062
AAPL,2025-01-03,242.26429748535156
AAPL,2025-01-06,243.89691162109375
AAPL,2025-01-07,241.11949157714844
AAPL,2025-01-08,241.6072540283203
AAPL,2025-01-10,235.7836151123047
AAPL,2025-01-13,233.34463500976562
AAPL,2025-01-14,232.22967529296875
AAPL,2025-01-15,236.7989959716797
AAPL,2025-01-16,227.2322998046875
AAPL,2025-01-17,228.94451904296875
AAPL,2025-01-21,221.63758850097656
AAPL,2025-01-22,222.8222198486328
AAPL,2025-01-23,222.6529998779297
AAPL,2025-01-24,221.77694702148438
AAPL,2025-01-27,228.8250732421875
AAPL,2025-01-28,237.18727111816406
AAPL,2025-01-29,238.28231811523438
AAPL,2025-01-30,236.520263671875
AAPL,2025-01-31,234.93743896484375
AAPL,2025-02-03,226.9833984375
AAPL,2025-02-04,231.75184631347656
AAPL,2025-02-05,231.42333984375
AAPL,2025-02-06,232.16995239257812
AAPL,2025-02-07,226.60511779785156
AAPL,2025-02-10,226.8741912841797
AAPL,2025-02-11,231.8272705078125
AAPL,2025-02-12,236.06277465820312
AAPL,2025-02-13,240.70687866210938
AAPL,2025-02-14,243.76646423339844
AAPL,2025-02-18,243.6368865966797
AAPL,2025-02-19,244.03549194335938
AAPL,2025-02-20,244.9922332763672
AAPL,2025-02-21,244.71319580078125
AAPL,2025-02-24,246.25791931152344
AAPL,2025-02-25,246.1981201171875
AAPL,2025-02-26,239.5408935546875
AAPL,2025-02-27,236.49131774902344
AAPL,2025-02-28,241.01583862304688
AAPL,2025-03-03,237.2188262939453
AAPL,2025-03-04,235.1259765625
AAPL,2025-03-05,234.93663024902344
AAPL,2025-03-06,234.52804565429688
AAPL,2025-03-07,238.2552947998047
AAPL,2025-03-10,226.70477294921875
AAPL,2025-03-11,220.08741760253906
AAPL,2025-03-12,216.24057006835938
AAPL,2025-03-13,208.96542358398438
AAPL,2025-03-14,212.76246643066406
AAPL,2025-03-17,213.27072143554688
AAPL,2025-03-18,211.96519470214844
AAPL,2025-03-19,214.50650024414062
AAPL,2025-03-20,213.37037658691406
AAPL,2025-03-21,217.52618408203125
AAPL,2025-03-24,219.977783203125
AAPL,2025-03-25,222.98748779296875
AAPL,2025-03-26,220.77505493164062
AAPL,2025-03-27,223.08717346191406
AAPL,2025-03-28,217.15740966796875
AAPL,2025-03-31,221.37301635742188
AAPL,2025-04-01,222.4293975830078
AAPL,2025-04-02,223.12701416015625
AAPL,2025-04-03,202.49755859375
AAPL,2025-04-04,187.738037109375
AAPL,2025-04-07,180.84161376953125
AAPL,2025-04-08,171.83242797851562
AAPL,2025-04-09,198.17234802246094
AAPL,2025-04-10,189.7710723876953
AAPL,2025-04-11,197.4747314453125
AAPL,2025-04-14,201.82984924316406
AAPL,2025-04-15,201.4511260986328
AAPL,2025-04-16,193.6079559326172
AAPL,2025-04-17,196.3087158203125
AAPL,2025-04-21,192.50172424316406
AAPL,2025-04-22,199.059326171875
AAPL,2025-04-23,203.90274047851562
AAPL,2025-04-24,207.659912109375
AAPL,2025-04-25,208.56680297851562
AAPL,2025-04-28,209.4238739013672
AAPL,2025-04-29,210.490234375
AAPL,2025-04-30,211.7758331298828
AAPL,2025-05-01,212.59304809570312
AAPL,2025-05-02,204.65020751953125
AAPL,2025-05-05,198.21221923828125
AAPL,2025-05-06,197.83349609375
AAPL,2025-05-07,195.58120727539062
AAPL,2025-05-08,196.81698608398438
AAPL,2025-05-09,197.8534393310547
AAPL,2025-05-12,210.3471221923828
AAPL,2025-05-13,212.48263549804688
AAPL,2025-05-14,211.8839111328125
AAPL,2025-05-15,211.00575256347656
AAPL,2025-05-16,210.81614685058594
AAPL,2025-05-19,208.3413543701172
AAPL,2025-05-20,206.42539978027344
AAPL,2025-05-21,201.66542053222656
AAPL,2025-05-22,200.93695068359375
AAPL,2025-05-23,194.8597412109375
AAPL,2025-05-27,199.78936767578125
AAPL,2025-05-28,199.99893188476562
AAPL,2025-05-29,199.5299072265625
AAPL,2025-05-30,200.4280242919922
AAPL,2025-06-02,201.27622985839844
AAPL,2025-06-03,202.8429412841797
AAPL,2025-06-04,202.3938751220703
AAPL,2025-06-05,200.20848083496094
AAPL,2025-06-06,203.49156188964844
AAPL,2025-06-09,201.02674865722656
AAPL,2025-06-10,202.24420166015625
AAPL,2025-06-11,198.36236572265625
AAPL,2025-06-12,198.78147888183594
AAPL,2025-06-13,196.03726196289062
AAPL,2025-06-16,198.0031280517578
AAPL,2025-06-17,195.2289581298828
AAPL,2025-06-18,196.1669921875
AAPL,2025-06-20,200.5777130126953
AAPL,2025-06-23,201.07664489746094
AAPL,2025-06-24,199.87918090820312
AAPL,2025-06-25,201.1365203857422
AAPL,2025-06-26,200.5777130126953
AAPL,2025-06-27,200.6575469970703
AAPL,2025-06-30,204.7389373779297
AAPL,2025-07-01,207.3833770751953
AAPL,2025-07-02,211.99366760253906
AAPL,2025-07-03,213.10133361816406
AAPL,2025-07-07,209.50889587402344
AAPL,2025-07-08,209.5687713623047
AAPL,2025-07-09,210.69639587402344
AAPL,2025-07-10,211.9637451171875
AAPL,2025-07-11,210.7163543701172
AAPL,2025-07-14,208.1816864013672
AAPL,2025-07-15,208.67066955566406
AAPL,2025-07-16,209.7184600830078
AAPL,2025-07-17,209.57875061035156
AAPL,2025-07-18,210.73631286621094
AAPL,2025-07-21,212.03358459472656
AAPL,2025-07-22,213.9495391845703
AAPL,2025-07-23,213.7000732421875
AAPL,2025-07-24,213.31089782714844
AAPL,2025-07-25,213.43064880371094
AAPL,2025-07-28,213.6002960205078
AAPL,2025-07-29,210.8261260986328
AAPL,2025-07-30,208.6107940673828
AAPL,2025-07-31,207.1339111328125
AAPL,2025-08-01,201.95480346679688
AAPL,2025-08-04,202.9227752685547
AAPL,2025-08-05,202.49366760253906
AAPL,2025-08-06,212.8019561767578
AAPL,2025-08-07,219.56771850585938
AAPL,2025-08-08,228.86813354492188
AAPL,2025-08-11,226.95997619628906
AAPL,2025-08-12,229.42758178710938
AAPL,2025-08-13,233.10403442382812
AAPL,2025-08-14,232.5545654296875
AAPL,2025-08-15,231.36570739746094
AAPL,2025-08-18,230.66639709472656
AAPL,2025-08-19,230.3367156982422
AAPL,2025-08-20,225.79110717773438
AAPL,2025-08-21,224.68218994140625
AAPL,2025-08-22,227.53941345214844
AAPL,2025-08-25,226.94000244140625
AAPL,2025-08-26,229.08792114257812
AAPL,2025-08-27,230.26678466796875
AAPL,2025-08-28,232.33477783203125
AAPL,2025-08-29,231.91517639160156
AAPL,2025-09-02,229.49752807617188
AAPL,2025-09-03,238.2390594482422
AAPL,2025-09-04,239.5477752685547
AAPL,2025-09-05,239.45787048339844
