stock,date,price,earnings_date,fiscal_date_ending,sector,sub_sector,market_cap_log,beta,daily_ret,drift_30d,drift_60d,vol_10d,vol_30d,vol_ratio_10_to_30,mom_5d,mom_20d,days_to_earnings,is_earnings_day,is_earnings_week,is_earnings_window,reaction_1d,reaction_3d,reaction_5d,is_up,is_down,is_nochange,reaction_std
AAPL,2025-01-02,242.770041802521,2025-01-30,2024-12-31,Technology,Consumer Electronics,28.9591640312095,1.093,,,,,,,,,28.0,0,0,0,,,,0,0,0,
AAPL,2025-01-03,242.282211905112,2025-01-30,2024-12-31,Technology,Consumer Electronics,28.9591640312095,1.093,-0.002009432027885172,,,,,,,,27.0,0,0,0,,,,0,0,0,
AAPL,2025-01-06,243.914948704604,2025-01-30,2024-12-31,Technology,Consumer Electronics,28.9591640312095,1.093,0.006738987508217997,,,,,,,,24.0,0,0,0,,,,0,0,0,
AAPL,2025-01-07,241.137305003029,2025-01-30,2024-12-31,Technology,Consumer Electronics,28.9591640312095,1.093,-0.011387755102041264,,,,,,,,23.0,0,0,0,,,,0,0,0,
AAPL,2025-01-08,241.625134900438,2025-01-30,2024-12-31,Technology,Consumer Electronics,28.9591640312095,1.093,0.0020230378597076992,,,,,,,,22.0,0,0,0,,,,0,0,0,
AAPL,2025-01-10,235.801043268104,2025-01-30,2024-12-31,Technology,Consumer Electronics,28.9591640312095,1.093,-0.024103831891222116,,,,,,,,20.0,0,0,0,,,,0,0,0,
AAPL,2025-01-13,233.361893781058,2025-01-30,2024-12-31,Technology,Consumer Electronics,28.9591640312095,1.093,-0.010344099641122928,,,,,,-0.028738993653222855,,17.0,0,0,0,,,,0,0,0,
AAPL,2025-01-14,232.246854015551,2025-01-30,2024-12-31,Technology,Consumer Electronics,28.9591640312095,1.093,-0.004778156996588012,,,,,,-0.03707366126646061,,16.0,0,0,0,,,,0,0,0,
AAPL,2025-01-15,236.816525911691,2025-01-30,2024-12-31,Technology,Consumer Electronics,28.9591640312095,1.093,0.019675925925928928,,,,,,-0.04859080577126662,,15.0,0,0,0,,,,0,0,0,
AAPL,2025-01-16,227.249086495155,2025-01-30,2024-12-31,Technology,Consumer Electronics,28.9591640312095,1.093,-0.04040021860680321,,,,,,-0.01752712474329643,,14.0,0,0,0,,,,0,0,0,
AAPL,2025-01-17,228.961468992183,2025-01-30,2024-12-31,Technology,Consumer Electronics,28.9591640312095,1.093,0.00753526680101535,,,,,,-0.059950381209807335,,13.0,0,0,0,,,,0,0,0,
AAPL,2025-01-21,221.653976243237,2025-01-30,2024-12-31,Technology,Consumer Electronics,28.9591640312095,1.093,-0.0319158187668489,,,0.017142143911141425,,,-0.02831128251756987,,9.0,0,0,1,,,,0,0,0,
AAPL,2025-01-22,222.838705994088,2025-01-30,2024-12-31,Technology,Consumer Electronics,28.9591640312095,1.093,0.005344951491196959,,,0.01894021831973337,,,-0.04988300164329584,,8.0,0,0,1,,,,0,0,0,
AAPL,2025-01-23,222.669458886824,2025-01-30,2024-12-31,Technology,Consumer Electronics,28.9591640312095,1.093,-0.0007595049814572707,,,0.018818734477922365,,,-0.03975989315551087,,7.0,0,0,1,,,,0,0,0,
AAPL,2025-01-24,221.793356213925,2025-01-30,2024-12-31,Technology,Consumer Electronics,28.9591640312095,1.093,-0.003934543503535948,,,0.018958157092073286,,,-0.06019532406289707,,6.0,0,0,1,,,,0,0,0,
AAPL,2025-01-27,228.842000445879,2025-01-30,2024-12-31,Technology,Consumer Electronics,28.9591640312095,1.093,0.03178023161863974,,,0.018708098642258624,,,-0.023729648959629812,,3.0,0,1,1,,,,0,0,0,
AAPL,2025-01-28,237.20479868718,2025-01-30,2024-12-31,Technology,Consumer Electronics,28.9591640312095,1.093,0.03654398329418029,,,0.021607350014474686,,,0.0005153158579945805,,2.0,0,1,1,,,,0,0,0,
AAPL,2025-01-29,238.299927028302,2025-01-30,2024-12-31,Technology,Consumer Electronics,28.9591640312095,1.093,0.004616805170818861,,,0.02465578853674337,,,0.06897511791902378,,1.0,0,1,1,,,,0,0,0,
AAPL,2025-01-30,236.537765970314,2025-01-30,2024-12-31,Technology,Consumer Electronics,28.9591640312095,1.093,-0.00739471925133528,,,0.024551430842179194,,,0.06824697159864568,,0.0,1,1,1,-0.006692200850204499,-0.020160781177659848,-0.01839303000968151,0,1,0,
AAPL,2025-01-31,234.954807731782,2025-05-01,2025-03-31,Technology,Consumer Electronics,28.9591640312095,1.093,-0.006692200850204499,,,0.02397555550243034,,,0.06161175732876767,,90.0,0,0,0,,,,0,0,0,
AAPL,2025-02-03,227.000193690354,2025-05-01,2025-03-31,Technology,Consumer Electronics,28.9591640312095,1.093,-0.033855932203391115,,,0.019615416742817745,,,0.05885409998209912,,87.0,0,0,0,,,,0,0,0,
AAPL,2025-02-04,231.768979830334,2025-05-01,2025-03-31,Technology,Consumer Electronics,28.9591640312095,1.093,0.02100785053287213,,,0.022783450520264183,,,-0.00678206383993174,-0.06331702415272988,86.0,0,0,0,,,,0,0,0,
AAPL,2025-02-05,231.440441327997,2025-05-01,2025-03-31,Technology,Consumer Electronics,28.9591640312095,1.093,-0.0014175257731966484,,,0.020765145041306898,,,-0.022318196601239904,-0.04029974159197258,85.0,0,0,0,,,,0,0,0,
AAPL,2025-02-06,232.187119742399,2025-05-01,2025-03-31,Technology,Consumer Electronics,28.9591640312095,1.093,0.0032262227384185493,,,0.02085050565388848,,,-0.028352527545255413,-0.04845625487338723,84.0,0,0,0,,,,0,0,0,
AAPL,2025-02-07,226.621876627057,2025-05-01,2025-03-31,Technology,Consumer Electronics,28.9591640312095,1.093,-0.023968784838351076,,,0.020787639646606036,,,-0.017731585555501583,-0.033842277032927415,83.0,0,0,0,,,,0,0,0,
AAPL,2025-02-10,226.890680856242,2025-05-01,2025-03-31,Technology,Consumer Electronics,28.9591640312095,1.093,0.001186135395160326,,,0.022568020098207468,,,-0.03500816954364816,-0.05983409973098619,80.0,0,0,0,,,,0,0,0,
AAPL,2025-02-11,231.844103583479,2025-05-01,2025-03-31,Technology,Consumer Electronics,28.9591640312095,1.093,0.021831759279595575,,,0.020076444576558012,,,3.3898054903280794e-05,-0.03454413244460375,79.0,0,0,0,,,,0,0,0,
AAPL,2025-02-12,236.079927847213,2025-05-01,2025-03-31,Technology,Consumer Electronics,28.9591640312095,1.093,0.018270140142722324,,,0.017407643853805586,,,0.000857806801626726,-0.002368273523885245,78.0,0,0,0,,,,0,0,0,
AAPL,2025-02-13,240.724384569331,2025-05-01,2025-03-31,Technology,Consumer Electronics,28.9591640312095,1.093,0.01967323848524627,,,0.018498280803735608,,,0.0205454727175457,0.02068002361542509,77.0,0,0,0,,,,0,0,0,
AAPL,2025-02-14,243.784144684546,2025-05-01,2025-03-31,Technology,Consumer Electronics,28.9591640312095,1.093,0.012710636359873018,,,0.019382204743176645,,,0.03699248846437342,0.020677336174742433,76.0,0,0,0,,,,0,0,0,
