stock,date,price,ingested_at,earnings_date,fiscal_end_date,reported_eps,estimated_eps,surprise_percentage,sector,sub_sector
PEG,2026-05-22,79.51000213623047,2026-05-25 12:29:28.535692,,,,,,Utilities,Electric Utilities
CRH,2026-05-22,100.37000274658203,2026-05-25 12:29:28.535692,,,,,,Materials,Construction Materials
DVA,2026-05-22,198.52000427246094,2026-05-25 12:29:28.535692,,,,,,Health Care,Health Care Services
PH,2026-05-22,866.9600219726562,2026-05-25 12:29:28.535692,,,,,,Industrials,Industrial Machinery & Supplies & Components
DE,2026-05-22,529.1500244140625,2026-05-25 12:29:28.535692,,,,,,Industrials,Agricultural & Farm Machinery
PG,2026-05-22,144.44000244140625,2026-05-25 12:29:28.535692,,,,,,Consumer Staples,Personal Care Products
MOS,2026-05-22,22.510000228881836,2026-05-25 12:29:28.535692,,,,,,Materials,Fertilizers & Agricultural Chemicals
KEY,2026-05-22,21.559999465942383,2026-05-25 12:29:28.535692,,,,,,Financials,Regional Banks
MA,2026-05-22,498.5400085449219,2026-05-25 12:29:28.535692,,,,,,Financials,Transaction & Payment Processing Services
LMT,2026-05-22,533.239990234375,2026-05-25 12:29:28.535692,,,,,,Industrials,Aerospace & Defense
NTAP,2026-05-22,139.36000061035156,2026-05-25 12:29:28.535692,,,,,,Information Technology,"Technology Hardware, Storage & Peripherals"
CEG,2026-05-22,294.07000732421875,2026-05-25 12:29:28.535692,,,,,,Utilities,Electric Utilities
ROST,2026-05-22,234.80999755859375,2026-05-25 12:29:28.535692,,,,,,Consumer Discretionary,Apparel Retail
USB,2026-05-22,54.83000183105469,2026-05-25 12:29:28.535692,,,,,,Financials,Diversified Banks
MTCH,2026-05-22,35.79999923706055,2026-05-25 12:29:28.535692,,,,,,,
DELL,2026-05-22,295.19000244140625,2026-05-25 12:29:28.535692,,,,,,Information Technology,"Technology Hardware, Storage & Peripherals"
BX,2026-05-22,118.51000213623047,2026-05-25 12:29:28.535692,,,,,,Financials,Asset Management & Custody Banks
CME,2026-05-22,291.2300109863281,2026-05-25 12:29:28.535692,,,,,,Financials,Financial Exchanges & Data
ROK,2026-05-22,452.2900085449219,2026-05-25 12:29:28.535692,,,,,,Industrials,Electrical Components & Equipment
LYB,2026-05-22,69.72000122070312,2026-05-25 12:29:28.535692,,,,,,Materials,Specialty Chemicals
UDR,2026-05-22,38.0099983215332,2026-05-25 12:29:28.535692,,,,,,Real Estate,Multi-Family Residential REITs
COIN,2026-05-22,184.99000549316406,2026-05-25 12:29:28.535692,,,,,,Financials,Financial Exchanges & Data
VMC,2026-05-22,260.6499938964844,2026-05-25 12:29:28.535692,,,,,,Materials,Construction Materials
VTRS,2026-05-22,16.649999618530273,2026-05-25 12:29:28.535692,,,,,,Health Care,Pharmaceuticals
VLO,2026-05-22,246.9600067138672,2026-05-25 12:29:28.535692,,,,,,Energy,Oil & Gas Refining & Marketing
PM,2026-05-22,188.99000549316406,2026-05-25 12:29:28.535692,,,,,,Consumer Staples,Tobacco
REG,2026-05-22,78.83999633789062,2026-05-25 12:29:28.535692,,,,,,Real Estate,Retail REITs
PFE,2026-05-22,25.899999618530273,2026-05-25 12:29:28.535692,,,,,,Health Care,Pharmaceuticals
RTX,2026-05-22,177.00999450683594,2026-05-25 12:29:28.535692,,,,,,Industrials,Aerospace & Defense
TRMB,2026-05-22,56.34000015258789,2026-05-25 12:29:28.535692,,,,,,Information Technology,Application Software
CRWD,2026-05-22,663.4600219726562,2026-05-25 12:29:28.535692,,,,,,Information Technology,Systems Software
TSN,2026-05-22,65.05000305175781,2026-05-25 12:29:28.535692,,,,,,Consumer Staples,Packaged Foods & Meats
TECH,2026-05-22,48.209999084472656,2026-05-25 12:29:28.535692,,,,,,Health Care,Life Sciences Tools & Services
ISRG,2026-05-22,438.1000061035156,2026-05-25 12:29:28.535692,,,,,,Health Care,Health Care Equipment
DECK,2026-05-22,106.66999816894531,2026-05-25 12:29:28.535692,,,,,,Consumer Discretionary,Footwear
HST,2026-05-22,22.3799991607666,2026-05-25 12:29:28.535692,,,,,,Real Estate,Hotel & Resort REITs
ROP,2026-05-22,326.94000244140625,2026-05-25 12:29:28.535692,,,,,,Information Technology,Electronic Equipment & Instruments
HLT,2026-05-22,321.0799865722656,2026-05-25 12:29:28.535692,,,,,,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
XOM,2026-05-22,154.9199981689453,2026-05-25 12:29:28.535692,,,,,,Energy,Integrated Oil & Gas
CVNA,2026-05-22,68.27999877929688,2026-05-25 12:29:28.535692,,,,,,Consumer Discretionary,Automotive Retail
BALL,2026-05-22,56.5099983215332,2026-05-25 12:29:28.535692,,,,,,Materials,"Metal, Glass & Plastic Containers"
SCHW,2026-05-22,90.1500015258789,2026-05-25 12:29:28.535692,,,,,,Financials,Investment Banking & Brokerage
URI,2026-05-22,938.6199951171875,2026-05-25 12:29:28.535692,,,,,,Industrials,Trading Companies & Distributors
YUM,2026-05-22,155.14999389648438,2026-05-25 12:29:28.535692,,,,,,Consumer Discretionary,Restaurants
BDX,2026-05-22,147.6300048828125,2026-05-25 12:29:28.535692,,,,,,Health Care,Health Care Equipment
CVX,2026-05-22,191.42999267578125,2026-05-25 12:29:28.535692,,,,,,Energy,Integrated Oil & Gas
BG,2026-05-22,120.70999908447266,2026-05-25 12:29:28.535692,,,,,,Consumer Staples,Agricultural Products & Services
AMCR,2026-05-22,38.380001068115234,2026-05-25 12:29:28.535692,,,,,,Materials,Paper & Plastic Packaging Products & Materials
SNPS,2026-05-22,524.739990234375,2026-05-25 12:29:28.535692,,,,,,Information Technology,Application Software
CPRT,2026-05-22,33.790000915527344,2026-05-25 12:29:28.535692,,,,,,Industrials,Diversified Support Services
O,2026-05-22,62.02000045776367,2026-05-25 12:29:28.535692,,,,,,Real Estate,Retail REITs
WBD,2026-05-22,27.030000686645508,2026-05-25 12:29:28.535692,,,,,,Communication Services,Broadcasting
NVR,2026-05-22,6036.990234375,2026-05-25 12:29:28.535692,,,,,,Consumer Discretionary,Homebuilding
TSCO,2026-05-22,31.6200008392334,2026-05-25 12:29:28.535692,,,,,,Consumer Discretionary,Other Specialty Retail
WTW,2026-05-22,257.3999938964844,2026-05-25 12:29:28.535692,,,,,,Financials,Insurance Brokers
TGT,2026-05-22,125.5999984741211,2026-05-25 12:29:28.535692,,,,,,Consumer Staples,Consumer Staples Merchandise Retail
PTC,2026-05-22,148.22999572753906,2026-05-25 12:29:28.535692,,,,,,Information Technology,Application Software
MAR,2026-05-22,369.1499938964844,2026-05-25 12:29:28.535692,,,,,,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
COST,2026-05-22,1028.239990234375,2026-05-25 12:29:28.535692,,,,,,Consumer Staples,Consumer Staples Merchandise Retail
ATO,2026-05-22,177.80999755859375,2026-05-25 12:29:28.535692,,,,,,Utilities,Gas Utilities
JBL,2026-05-22,364.3500061035156,2026-05-25 12:29:28.535692,,,,,,Information Technology,Electronic Manufacturing Services
RMD,2026-05-22,208.0500030517578,2026-05-25 12:29:28.535692,,,,,,Health Care,Health Care Equipment
NXPI,2026-05-22,316.4700012207031,2026-05-25 12:29:28.535692,,,,,,Information Technology,Semiconductors
XYL,2026-05-22,110.27999877929688,2026-05-25 12:29:28.535692,,,,,,Industrials,Industrial Machinery & Supplies & Components
HAL,2026-05-22,41.470001220703125,2026-05-25 12:29:28.535692,,,,,,Energy,Oil & Gas Equipment & Services
BBY,2026-05-22,61.630001068115234,2026-05-25 12:29:28.535692,,,,,,Consumer Discretionary,Computer & Electronics Retail
PPL,2026-05-22,36.31999969482422,2026-05-25 12:29:28.535692,,,,,,Utilities,Electric Utilities
HPQ,2026-05-22,25.239999771118164,2026-05-25 12:29:28.535692,,,,,,Information Technology,"Technology Hardware, Storage & Peripherals"
XEL,2026-05-22,81.08000183105469,2026-05-25 12:29:28.535692,,,,,,Utilities,Multi-Utilities
MSCI,2026-05-22,588.5499877929688,2026-05-25 12:29:28.535692,,,,,,Financials,Financial Exchanges & Data
GDDY,2026-05-22,90.45999908447266,2026-05-25 12:29:28.535692,,,,,,Information Technology,Internet Services & Infrastructure
GPC,2026-05-22,97.87000274658203,2026-05-25 12:29:28.535692,,,,,,Consumer Discretionary,Distributors
CLX,2026-05-22,95.11000061035156,2026-05-25 12:29:28.535692,,,,,,Consumer Staples,Household Products
BRO,2026-05-22,57.81999969482422,2026-05-25 12:29:28.535692,,,,,,Financials,Insurance Brokers
CB,2026-05-22,327.8900146484375,2026-05-25 12:29:28.535692,,,,,,Financials,Property & Casualty Insurance
